filing|tech_field|variable|patents|mean|std_dev|kurtosis|skewness|min|p1|p10|p25|p50|p75|p90|p99|max
1980|21|"bwd_cits"|382|4.662303|2.819801|5.326556|1.012376|0|0|1|3|4|6|8|13|19
1980|23|"bwd_cits"|701|5.025678|3.224358|4.762395|.8954625|0|0|1|3|5|7|9|14|20
1980|24|"bwd_cits"|256|5.292969|3.420255|3.363528|.5252758|0|0|0|3|5|8|9|14|18
1980|25|"bwd_cits"|746|4.760054|3.219915|3.574376|.7192928|0|0|1|2|4|7|9|13|19
1980|26|"bwd_cits"|648|5.217593|3.34015|3.331348|.6958578|0|0|1|3|5|7|10|15|18
1980|27|"bwd_cits"|629|5.335453|3.322434|3.3055|.5027893|0|0|1|3|5|7|10|14|18
1980|28|"bwd_cits"|678|4.215339|2.750201|6.199198|1.253484|0|0|1|2|4|6|7|13|19
1980|29|"bwd_cits"|889|5.426322|3.797436|53.93047|3.957999|0|0|1|3|5|7|10|14|61
1980|30|"bwd_cits"|473|5.852008|3.717127|3.865562|.8109874|0|0|1|3|5|8|11|17|21
1980|31|"bwd_cits"|771|5.907912|3.626107|5.036364|.8902128|0|0|1|3|6|8|10|17|25
1980|32|"bwd_cits"|686|4.844023|3.319553|5.969958|1.141418|0|0|1|3|5|7|9|15|24
1980|33|"bwd_cits"|342|4.640351|3.337674|8.129728|1.201026|0|0|0|2|4|7|8|14|27
1980|34|"bwd_cits"|336|5.142857|3.407254|3.071|.6421195|0|0|1|3|5|7|10|14|16
1980|35|"bwd_cits"|732|5.113388|3.668849|4.83467|1.058754|0|0|0|3|5|7|10|17|22
1981|1|"bwd_cits"|1526|4.621887|2.783656|7.317251|1.329182|0|0|2|3|4|6|8|14|26
1981|2|"bwd_cits"|691|4.357453|2.813196|7.03925|1.334747|0|0|1|2|4|6|8|13|20
1981|3|"bwd_cits"|438|3.997717|2.779871|19.79978|2.355804|0|0|1|2|4|5|7|11|30
1981|4|"bwd_cits"|129|3.20155|2.251318|5.413479|1.211547|0|0|1|2|3|4|6|11|12
1981|5|"bwd_cits"|345|3.486957|2.502436|5.364159|1.036461|0|0|1|2|3|5|7|11|17
1981|6|"bwd_cits"|626|3.158147|2.360116|5.21997|1.268584|0|0|1|1|3|4|6|12|13
1981|7|"bwd_cits"|4|3.25|1.5|2.333333|-1.154701|1|1|1|2.5|4|4|4|4|4
1981|8|"bwd_cits"|527|2.963947|2.161852|9.413999|1.627454|0|0|1|1|3|4|5|9|19
1981|9|"bwd_cits"|791|3.984829|2.71233|10.62102|1.483503|0|0|1|2|4|5|7|13|27
1981|10|"bwd_cits"|1177|4.265081|2.758921|16.48982|1.767749|0|0|1|2|4|6|7|12|35
1981|11|"bwd_cits"|133|4.541353|2.877581|3.71946|.8418181|0|0|1|3|4|6|8|13|13
1981|12|"bwd_cits"|344|4.084302|2.70867|4.88138|.7534359|0|0|0|2|4|6|7|11|19
1981|13|"bwd_cits"|721|4.943134|3.244369|3.710041|.6367696|0|0|1|3|5|7|9|14|20
1981|14|"bwd_cits"|2091|3.109995|2.328182|10.86173|1.834388|0|0|1|1|3|4|6|11|23
1981|15|"bwd_cits"|360|2.777778|2.480128|6.44629|1.321634|0|0|0|1|2|4|6|10|18
1981|16|"bwd_cits"|648|3.070988|2.605052|7.313294|1.685035|0|0|0|1|3|4|6|13|17
1981|17|"bwd_cits"|1279|3.657545|2.452045|10.30271|1.780895|0|0|1|2|3|5|7|12|22
1981|18|"bwd_cits"|253|4.893281|3.674299|4.940093|1.208153|0|0|1|3|4|7|10|15|22
1981|19|"bwd_cits"|1029|4.076774|2.822391|10.80161|1.78478|0|0|1|2|4|5|8|13|28
1981|20|"bwd_cits"|772|4.843264|2.979836|10.58753|1.482673|0|0|1|3|5|6|9|12|28
1981|21|"bwd_cits"|562|4.145907|2.719847|5.624341|1.20007|0|0|1|2|4|6|7|13|18
1981|23|"bwd_cits"|892|5.039237|3.00535|3.912844|.7369419|0|0|2|3|5|7|9|14|19
1981|24|"bwd_cits"|334|4.482036|3.262947|14.41675|2.155689|0|0|1|2|4|6|8|15|30
1981|25|"bwd_cits"|954|4.469602|2.964926|4.192801|.8664616|0|0|1|2|4|6|9|14|18
1981|26|"bwd_cits"|872|4.966743|3.187597|5.264954|1.05114|0|0|1|3|5|7|9|15|22
1981|27|"bwd_cits"|839|5.218117|3.135196|4.506085|.7357123|0|0|1|3|5|7|9|14|20
1981|28|"bwd_cits"|932|3.968884|3.000555|8.487612|1.602927|0|0|1|2|3|5|8|14|25
1981|29|"bwd_cits"|1097|5.007293|3.091952|3.987237|.7302324|0|0|1|3|5|7|9|14|18
1981|30|"bwd_cits"|706|5.686969|3.514069|7.842535|1.417879|0|0|2|4|5|7|10|17|29
1981|31|"bwd_cits"|1053|5.60019|3.24135|3.93319|.6981346|0|0|2|3|5|7|10|15|21
1981|32|"bwd_cits"|996|5.012048|3.254352|4.169836|.8740962|0|0|1|3|5|7|9|15|18
1981|33|"bwd_cits"|426|4.446009|3.189416|4.057363|.7581472|0|0|0|2|4|6|8|14|18
1981|34|"bwd_cits"|477|5.262054|3.381935|4.135345|.7007293|0|0|1|3|5|7|10|15|22
1981|35|"bwd_cits"|934|4.881156|3.56291|17.0598|2.314246|0|0|1|3|4|6|9|16|39
1982|1|"bwd_cits"|1771|4.268775|2.305736|5.729775|.8198817|0|0|2|3|4|6|7|11|21
1982|2|"bwd_cits"|973|4.127441|2.750271|9.282062|1.575203|0|0|1|2|4|5|8|12|26
1982|3|"bwd_cits"|480|3.572917|2.637234|5.68181|1.243847|0|0|1|2|3|5|7|12|17
1982|4|"bwd_cits"|129|2.682171|2.172213|4.925554|1.284779|0|0|0|1|2|4|6|10|10
1982|5|"bwd_cits"|400|3.205|2.282762|5.139027|1.032802|0|0|0|2|3|4|6|10.5|15
1982|6|"bwd_cits"|733|2.848567|2.176059|7.831905|1.593133|0|0|1|1|2|4|5|10|16
1982|7|"bwd_cits"|7|4.142857|4.059087|2.166619|.6315207|0|0|0|0|3|8|11|11|11
1982|8|"bwd_cits"|669|3.085202|2.078599|5.74842|1.15651|0|0|1|2|3|4|6|10|15
1982|9|"bwd_cits"|953|3.86149|2.395224|5.05912|.9612143|0|0|1|2|4|5|7|11|16
1982|10|"bwd_cits"|1438|4.043116|2.340727|4.475716|.7355791|0|0|1|3|4|5|7|11|16
1982|11|"bwd_cits"|163|3.435583|2.349249|2.513476|.3176771|0|0|0|2|3|5|7|9|10
1982|12|"bwd_cits"|436|4.504587|2.885951|7.722552|1.374373|0|0|1|3|4|6|8|14|21
1982|13|"bwd_cits"|965|4.854922|2.895068|4.284113|.6398654|0|0|1|3|5|7|9|13|21
1982|14|"bwd_cits"|2191|2.870835|2.124702|8.552823|1.521962|0|0|1|1|3|4|5|9|22
1982|15|"bwd_cits"|444|2.522522|2.39675|5.722195|1.393813|0|0|0|1|2|4|6|10|14
1982|16|"bwd_cits"|709|2.744711|2.307196|6.930377|1.548725|0|0|0|1|2|4|5|11|16
1982|17|"bwd_cits"|1330|3.251128|2.412677|74.98753|5.190265|0|0|1|2|3|4|6|10|45
1982|18|"bwd_cits"|279|4.340502|3.018321|4.055589|1.011037|0|0|1|2|4|6|8|14|15
1982|19|"bwd_cits"|1153|3.677363|2.429917|9.965813|1.63636|0|0|1|2|3|5|7|11|24
1982|20|"bwd_cits"|926|4.583153|2.50256|4.531291|.9102694|0|0|2|3|4|6|8|13|16
1982|21|"bwd_cits"|507|4.086785|2.636841|7.723678|1.394267|0|0|1|2|4|5|7|11|20
1982|23|"bwd_cits"|933|4.583066|2.557664|3.806979|.5780174|0|0|1|3|4|6|8|12|15
1982|24|"bwd_cits"|319|4.278997|2.379267|3.270011|.625145|0|0|2|3|4|5|8|11|12
1982|25|"bwd_cits"|1133|4.281553|2.697202|8.633754|1.177083|0|0|1|2|4|6|8|12|28
1982|26|"bwd_cits"|1033|4.817038|3.018422|11.30312|1.456854|0|0|1|3|5|6|9|13|33
1982|27|"bwd_cits"|1074|4.85568|2.761172|5.23736|.9016951|0|0|2|3|5|6|8|14|20
1982|28|"bwd_cits"|990|4.215151|2.472329|4.595192|.9541543|0|0|1.5|3|4|6|7|12|17
1982|29|"bwd_cits"|1368|4.726608|2.863354|5.035883|.9430877|0|0|1|3|4|6|8|13|22
1982|30|"bwd_cits"|649|5.631741|3.342807|4.602764|.9113771|0|0|2|3|5|7|10|16|20
1982|31|"bwd_cits"|1165|5.123605|3.027395|3.980149|.8027714|0|0|2|3|5|7|9|15|17
1982|32|"bwd_cits"|1098|4.53643|2.93053|7.346484|1.27715|0|0|1|3|4|6|8|14|21
1982|33|"bwd_cits"|491|4.492872|2.695698|4.128584|.5012349|0|0|0|3|5|6|8|12|17
1982|34|"bwd_cits"|554|5.018051|3.289476|5.661613|1.041804|0|0|1|3|5|7|9|15|22
1982|35|"bwd_cits"|1057|4.723746|3.055567|5.446049|.9918872|0|0|1|3|4|6|8|15|20
1983|1|"bwd_cits"|1902|4.155626|2.448624|5.186362|.980413|0|0|1|3|4|5|7|12|18
1983|2|"bwd_cits"|1278|3.744914|2.510252|5.118503|1.003042|0|0|1|2|3|5|7|11|17
1983|3|"bwd_cits"|599|3.313856|2.386204|3.934031|.8395233|0|0|0|2|3|5|6|10|13
1983|4|"bwd_cits"|218|2.550459|2.067908|8.22088|1.368114|0|0|0|1|2|4|5|9|15
1983|5|"bwd_cits"|481|3.029106|2.0573|4.476906|.9179317|0|0|1|2|3|4|6|10|12
1983|6|"bwd_cits"|838|2.642005|2.12585|6.021306|1.353199|0|0|0|1|2|4|5|10|14
1983|7|"bwd_cits"|9|4.444445|3.609401|1.520785|-.0274994|0|0|0|1|5|7|9|9|9
1983|8|"bwd_cits"|706|3.239377|2.249207|6.406082|1.286402|0|0|1|2|3|4|6|10|16
1983|9|"bwd_cits"|1060|4.1|5.820854|550.6967|20.82249|0|0|1|2|4|5|7|12|164
1983|10|"bwd_cits"|1590|3.767925|2.363899|6.323857|.9968356|0|0|1|2|4|5|7|11|21
1983|11|"bwd_cits"|198|3.510101|2.764422|7.295522|1.508188|0|0|0|2|3|5|7|16|17
1983|12|"bwd_cits"|474|4.392405|2.912034|7.551157|1.282627|0|0|1|3|4|6|8|13|23
1983|13|"bwd_cits"|1071|4.813259|3.226156|8.394338|1.409397|0|0|1|3|4|6|9|15|28
1983|14|"bwd_cits"|2316|2.900691|2.262012|14.82637|2.230888|0|0|1|1|2|4|5|11|28
1983|15|"bwd_cits"|588|2.821429|2.982701|49.18371|4.484949|0|0|0|1|2|4|6|12|41
1983|16|"bwd_cits"|887|2.961668|2.548114|8.639482|1.842805|0|0|0|1|2|4|6|12|19
1983|17|"bwd_cits"|1496|3.487299|2.505881|31.18588|3.443672|0|0|1|2|3|4|6|11|35
